sl_no,laser_power_w,scan_speed_mm_s,melt_pool_depth_mm,melt_pool_length_mm,melt_pool_width_mm,depth_width_ratio,length_width_ratio
1,250,1225,0.075,0.627,0.122,0.61475,5.139344
2,285,1225,0.087,0.697,0.131,0.66412,5.320611
3,250,1050,0.088,0.624,0.133,0.66165,4.691729
4,250,1000,0.091,0.623,0.137,0.66423,4.547445
5,300,1225,0.092,0.725,0.134,0.68657,5.410448
6,250,980,0.093,0.622,0.138,0.67391,4.507246
7,285,1050,0.1,0.689,0.141,0.70922,4.886525
8,250,875,0.103,0.619,0.146,0.70548,4.239726
9,285,1000,0.105,0.687,0.144,0.72917,4.770833
10,300,1050,0.106,0.717,0.144,0.73611,4.979167
11,250,840,0.107,0.614,0.148,0.72297,4.148649
12,285,980,0.107,0.687,0.146,0.73288,4.705479
13,350,1225,0.107,0.813,0.143,0.74825,5.685315
14,250,820,0.109,0.613,0.15,0.72667,4.086667
15,300,1000,0.11,0.713,0.147,0.7483,4.85034
16,250,800,0.111,0.613,0.152,0.73026,4.032895
17,300,980,0.112,0.71,0.149,0.75168,4.765101
18,285,875,0.117,0.679,0.154,0.75974,4.409091
19,285,840,0.121,0.679,0.157,0.7707,4.324841
20,350,1050,0.122,0.8,0.153,0.79739,5.228758
21,300,875,0.123,0.707,0.157,0.78344,4.503185
22,285,820,0.124,0.677,0.159,0.77987,4.257862
23,250,700,0.125,0.61,0.163,0.76687,3.742331
24,285,800,0.126,0.675,0.161,0.78261,4.192547
25,350,1000,0.127,0.798,0.157,0.80892,5.082803
26,300,840,0.128,0.703,0.16,0.8,4.39375
27,250,670,0.129,0.608,0.166,0.77711,3.662651
28,350,980,0.129,0.797,0.159,0.81132,5.012579
29,300,820,0.13,0.703,0.162,0.80247,4.339506
30,300,800,0.133,0.701,0.164,0.81098,4.27439
31,250,600,0.141,0.605,0.174,0.81034,3.477011
32,285,700,0.141,0.669,0.171,0.82456,3.912281
33,350,875,0.142,0.788,0.167,0.8503,4.718563
34,250,585,0.144,0.604,0.176,0.81818,3.431818
35,285,670,0.146,0.668,0.174,0.83908,3.83908
36,250,570,0.147,0.603,0.178,0.82584,3.38764
37,350,840,0.147,0.784,0.17,0.86471,4.611765
38,300,700,0.148,0.694,0.174,0.85057,3.988506
39,350,820,0.15,0.783,0.172,0.87209,4.552326
40,350,800,0.153,0.78,0.173,0.88439,4.508671
41,300,670,0.154,0.692,0.177,0.87006,3.909605
42,285,600,0.16,0.661,0.182,0.87912,3.631868
43,250,500,0.162,0.6,0.189,0.85714,3.174603
44,285,585,0.163,0.661,0.185,0.88108,3.572973
45,285,570,0.167,0.66,0.187,0.89305,3.529412
46,300,600,0.169,0.686,0.186,0.9086,3.688172
47,350,700,0.17,0.77,0.183,0.92896,4.20765
48,300,585,0.172,0.686,0.188,0.91489,3.648936
49,300,570,0.175,0.684,0.19,0.92105,3.6
50,350,670,0.177,0.768,0.187,0.94652,4.106952
51,285,500,0.184,0.655,0.198,0.92929,3.308081
52,300,500,0.192,0.678,0.202,0.9505,3.356436
53,350,600,0.193,0.761,0.196,0.98469,3.882653
54,350,585,0.196,0.76,0.199,0.98492,3.819095
55,350,570,0.2,0.758,0.201,0.99502,3.771144
56,350,500,0.217,0.748,0.212,1.02358,3.528302
